date,A,B,C,D,E,F,G,H,I,J,K,L,M
2023/1/1 0:00,1,0,1,0,0,0,0,0,0,1,0,0,0
2023/1/1 0:01,0,1,0,1,17,0,0,1,1,0,1,30,3
2023/1/1 0:02,0,0,5,1,80,38,24,0,0,6,1,4,0
2023/1/1 0:03,21,0,20,1,1,16,20,17,0,13,0,0,0
2023/1/1 0:04,9,0,2,1,0,0,0,8,0,2,2,0,0
2023/1/1 0:05,1,1,0,1,0,0,0,0,0,0,0,0,0
2023/1/1 0:06,0,0,1,1,0,0,0,1,0,1,0,0,0
2023/1/1 0:07,1,0,0,1,0,0,0,0,0,0,1,0,0
2023/1/1 0:08,0,0,1,1,0,0,0,0,0,0,1,0,0
2023/1/1 0:09,0,0,0,1,18,0,0,1,0,1,1,25,2
2023/1/1 0:10,1,0,3,0,79,34,34,1,0,5,1,4,0
2023/1/1 0:11,23,0,19,2,0,13,16,19,0,21,0,0,0
2023/1/1 0:12,3,0,2,0,0,0,0,6,1,0,1,0,0
2023/1/1 0:13,0,0,0,1,0,0,0,0,0,0,1,0,0
2023/1/1 0:14,0,0,1,1,0,0,0,0,0,1,0,0,0
2023/1/1 0:15,1,0,0,1,0,0,0,1,0,0,2,0,0
2023/1/1 0:16,0,0,0,1,0,0,0,0,0,0,0,0,0
2023/1/1 0:17,1,0,1,0,18,0,0,0,0,1,0,31,4
2023/1/1 0:18,0,1,9,2,78,37,35,1,0,5,1,6,0
2023/1/1 0:19,16,0,25,0,1,20,5,23,0,10,1,0,0
2023/1/1 0:20,7,2,2,0,0,0,0,4,0,0,0,0,0
2023/1/1 0:21,0,0,1,2,0,0,0,0,1,0,1,0,0
2023/1/1 0:22,1,0,0,1,0,0,0,0,0,1,1,1,0
2023/1/1 0:23,0,0,1,1,0,0,0,1,0,0,0,0,0
2023/1/1 0:24,1,0,0,1,0,0,0,0,0,0,1,0,0
2023/1/1 0:25,0,0,1,1,23,0,0,0,0,1,1,26,3
2023/1/1 0:26,0,0,9,1,77,40,29,1,1,7,0,5,0
2023/1/1 0:27,24,0,20,0,0,21,10,17,0,13,2,0,0
2023/1/1 0:28,10,0,0,1,0,0,0,2,0,1,0,0,0
2023/1/1 0:29,1,0,1,1,0,0,0,1,0,0,1,0,0
2023/1/1 0:30,0,0,0,1,0,0,0,0,0,1,1,0,0
2023/1/1 0:31,1,0,1,1,0,0,0,0,1,0,0,0,0
2023/1/1 0:32,0,0,0,2,0,0,0,1,0,0,2,0,0
2023/1/1 0:33,0,0,0,0,17,0,0,0,0,1,0,19,6
2023/1/1 0:34,1,0,6,0,78,27,36,0,0,5,0,4,1
2023/1/1 0:35,15,0,15,2,2,15,19,22,0,23,1,0,0
2023/1/1 0:36,5,0,4,0,0,0,0,5,0,2,1,0,0
2023/1/1 0:37,0,0,0,2,0,0,0,0,0,0,1,0,0
2023/1/1 0:38,0,0,1,0,0,0,0,1,0,0,0,0,0
2023/1/1 0:39,1,0,0,2,0,0,0,0,0,1,1,1,0
2023/1/1 0:40,0,0,1,0,0,0,0,1,1,0,0,0,0
2023/1/1 0:41,1,0,0,1,24,0,0,0,0,1,2,27,6
2023/1/1 0:42,1,0,5,1,74,36,41,0,0,9,1,0,0
2023/1/1 0:43,19,0,19,1,4,8,17,25,0,17,0,0,0
2023/1/1 0:44,2,0,1,1,0,0,0,6,0,3,1,1,0
2023/1/1 0:45,0,0,0,1,0,0,0,0,0,0,1,0,0
2023/1/1 0:46,1,0,0,0,0,0,0,1,0,0,0,0,0
2023/1/1 0:47,0,0,1,2,0,0,0,0,0,1,1,1,0
2023/1/1 0:48,1,0,0,0,0,0,0,0,0,0,1,0,0
2023/1/1 0:49,0,1,1,1,16,0,0,1,0,1,0,17,0
2023/1/1 0:50,2,0,2,1,80,34,32,1,1,3,1,5,0
2023/1/1 0:51,21,0,20,0,3,14,19,20,0,19,1,0,0
2023/1/1 0:52,5,0,0,1,0,0,0,9,0,1,1,0,0
2023/1/1 0:53,1,0,1,1,0,0,0,0,0,0,1,0,0
2023/1/1 0:54,0,0,0,2,0,0,0,0,0,0,0,0,0
2023/1/1 0:55,0,0,1,0,0,0,0,1,0,1,1,0,0
2023/1/1 0:56,1,0,0,1,0,0,0,0,0,0,1,0,0
2023/1/1 0:57,0,0,1,1,16,0,0,1,0,0,0,25,3
2023/1/1 0:58,2,0,5,1,85,36,34,1,0,4,1,4,0
2023/1/1 0:59,20,0,24,1,3,18,16,18,0,25,2,0,0
2023/1/1 1:00,8,1,2,1,0,0,0,5,0,2,1,0,0
2023/1/1 1:01,1,2,2,3,0,0,0,2,0,2,2,0,0
2023/1/1 1:02,2,0,2,5,0,0,0,1,0,1,4,0,0
2023/1/1 1:03,2,0,2,4,0,0,0,1,1,2,2,1,0
2023/1/1 1:04,1,2,2,2,0,0,0,2,0,1,2,1,0
2023/1/1 1:05,2,0,2,4,19,0,0,1,1,2,2,75,28
2023/1/1 1:06,3,2,6,2,119,38,39,4,0,10,5,41,29
2023/1/1 1:07,19,0,30,7,122,58,60,19,0,34,2,41,13
2023/1/1 1:08,26,1,36,2,98,60,56,31,0,23,3,0,0
2023/1/1 1:09,31,1,24,4,5,12,40,30,0,32,4,2,0
2023/1/1 1:10,8,1,2,3,0,0,0,14,1,12,2,1,1
2023/1/1 1:11,2,0,2,4,0,0,0,2,0,2,3,0,0
2023/1/1 1:12,2,0,2,5,0,0,0,1,0,1,3,1,1
2023/1/1 1:13,1,2,2,1,19,0,0,1,0,2,3,81,42
2023/1/1 1:14,2,1,8,4,126,39,40,4,0,10,4,92,23
2023/1/1 1:15,28,0,21,4,122,62,64,20,0,37,1,76,2
2023/1/1 1:16,35,0,31,3,92,53,60,32,0,30,4,10,0
2023/1/1 1:17,27,1,31,2,1,33,9,33,0,18,2,0,0
2023/1/1 1:18,14,0,8,6,0,0,0,1,0,2,3,0,0
2023/1/1 1:19,1,1,2,3,0,0,0,2,0,1,2,2,0
2023/1/1 1:20,2,1,2,2,0,0,0,1,1,2,4,1,0
2023/1/1 1:21,2,0,2,6,17,0,0,2,0,1,3,90,45
2023/1/1 1:22,2,2,3,1,119,37,39,2,0,8,3,75,33
2023/1/1 1:23,27,0,31,4,125,59,57,26,0,23,2,48,7
2023/1/1 1:24,28,1,31,4,100,55,60,37,0,27,4,9,1
2023/1/1 1:25,36,1,22,4,1,34,21,37,1,22,2,0,0
2023/1/1 1:26,14,0,8,4,0,0,0,8,0,2,4,2,0
2023/1/1 1:27,2,0,2,4,0,0,0,1,1,1,2,0,0
2023/1/1 1:28,1,0,2,3,0,0,0,1,0,2,2,0,1
2023/1/1 1:29,2,0,1,3,22,0,0,2,0,1,4,77,43
2023/1/1 1:30,2,1,8,5,123,40,46,6,0,7,3,69,34
2023/1/1 1:31,23,1,30,2,116,57,61,30,0,26,3,52,12
2023/1/1 1:32,28,0,33,5,104,55,54,38,0,26,3,4,0
2023/1/1 1:33,36,1,17,2,0,35,17,22,0,29,2,2,1
2023/1/1 1:34,20,0,8,5,0,0,0,7,0,1,4,1,0
2023/1/1 1:35,2,1,2,2,0,0,0,1,0,2,1,1,1
2023/1/1 1:36,2,1,1,4,0,0,0,2,1,1,3,0,0
2023/1/1 1:37,1,0,2,4,21,0,0,1,0,2,2,102,25
2023/1/1 1:38,3,0,7,4,129,41,41,2,0,6,5,48,2
2023/1/1 1:39,21,0,35,4,123,60,61,25,0,31,2,50,0
2023/1/1 1:40,32,1,27,1,92,55,64,35,0,34,4,0,0
2023/1/1 1:41,29,0,29,4,0,17,26,29,0,33,1,0,0
2023/1/1 1:42,7,2,2,4,0,0,0,9,0,2,3,1,0
2023/1/1 1:43,1,4,2,2,0,0,0,1,0,2,4,0,1
2023/1/1 1:44,2,1,1,5,0,0,0,2,0,1,3,0,0
2023/1/1 1:45,2,2,2,3,15,0,0,1,1,2,2,109,20
2023/1/1 1:46,2,1,9,4,119,36,41,3,0,8,3,71,8
2023/1/1 1:47,21,0,26,4,118,55,60,24,0,29,3,56,0
2023/1/1 1:48,28,0,32,4,102,55,56,37,1,29,2,15,1
2023/1/1 1:49,29,1,29,3,9,48,12,20,0,28,4,1,0
2023/1/1 1:50,26,0,10,5,0,0,0,3,0,2,2,0,0
2023/1/1 1:51,2,2,2,1,0,0,0,2,0,1,4,0,0
2023/1/1 1:52,1,0,1,4,0,0,0,1,1,2,3,2,0
2023/1/1 1:53,2,0,2,5,22,0,0,1,0,1,3,92,42
2023/1/1 1:54,2,0,9,3,117,40,44,4,1,7,2,70,26
2023/1/1 1:55,20,1,31,3,128,55,58,28,0,34,3,59,1
2023/1/1 1:56,32,1,31,4,91,60,62,29,0,29,2,14,0
2023/1/1 1:57,30,0,28,3,10,45,3,28,0,20,5,1,0
2023/1/1 1:58,20,0,15,4,0,0,0,1,0,2,2,0,0
2023/1/1 1:59,2,0,1,4,0,0,0,2,0,1,3,0,0
2023/1/1 2:00,2,1,2,3,0,0,0,1,0,2,3,0,1
2023/1/1 2:01,1,1,2,4,27,0,0,2,0,1,4,118,47
2023/1/1 2:02,4,0,11,3,125,41,45,3,0,5,2,68,36
2023/1/1 2:03,27,1,25,3,116,59,62,32,0,32,3,46,4
2023/1/1 2:04,31,1,28,4,93,56,62,33,1,31,2,1,0
2023/1/1 2:05,25,1,33,3,0,22,14,31,0,26,3,0,0
2023/1/1 2:06,9,1,4,4,0,0,0,3,1,1,3,0,0
2023/1/1 2:07,1,0,1,5,0,0,0,1,0,2,3,0,1
2023/1/1 2:08,2,0,2,3,0,0,0,1,0,1,4,0,0
2023/1/1 2:09,2,0,2,3,21,0,0,2,0,2,1,91,36
2023/1/1 2:10,2,0,10,3,117,43,38,3,0,9,3,71,30
2023/1/1 2:11,22,0,30,4,119,56,61,26,0,29,3,47,3
2023/1/1 2:12,34,1,28,4,105,50,57,31,1,25,2,8,0
2023/1/1 2:13,27,1,28,2,0,35,22,28,0,26,3,0,0
2023/1/1 2:14,14,0,6,5,0,0,0,14,0,1,4,0,1
2023/1/1 2:15,2,1,2,3,0,0,0,1,0,2,3,2,0
2023/1/1 2:16,1,1,2,4,0,0,0,2,1,1,3,0,0
2023/1/1 2:17,2,0,2,4,20,0,0,1,0,1,2,102,26
2023/1/1 2:18,2,0,12,3,123,41,37,3,0,9,4,81,39
