A,B,C,D,E,F,G,H,I,J,K,L,M
1,0,1,0,0,0,0,0,0,1,0,0,0
0,1,0,1,17,0,0,1,1,0,1,30,3
0,0,5,1,80,38,24,0,0,6,1,4,0
21,0,20,1,1,16,20,17,0,13,0,0,0
9,0,2,1,0,0,0,8,0,2,2,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,1,0,1,0,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0,1,0,0
0,0,0,1,18,0,0,1,0,1,1,25,2
1,0,3,0,79,34,34,1,0,5,1,4,0
23,0,19,2,0,13,16,19,0,21,0,0,0
3,0,2,0,0,0,0,6,1,0,1,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,1,0,0,2,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,18,0,0,0,0,1,0,31,4
0,1,9,2,78,37,35,1,0,5,1,6,0
16,0,25,0,1,20,5,23,0,10,1,0,0
7,2,2,0,0,0,0,4,0,0,0,0,0
0,0,1,2,0,0,0,0,1,0,1,0,0
1,0,0,1,0,0,0,0,0,1,1,1,0
0,0,1,1,0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,23,0,0,0,0,1,1,26,3
0,0,9,1,77,40,29,1,1,7,0,5,0
24,0,20,0,0,21,10,17,0,13,2,0,0
10,0,0,1,0,0,0,2,0,1,0,0,0
1,0,1,1,0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,0,0,0,1,1,0,0
1,0,1,1,0,0,0,0,1,0,0,0,0
0,0,0,2,0,0,0,1,0,0,2,0,0
0,0,0,0,17,0,0,0,0,1,0,19,6
1,0,6,0,78,27,36,0,0,5,0,4,1
15,0,15,2,2,15,19,22,0,23,1,0,0
5,0,4,0,0,0,0,5,0,2,1,0,0
0,0,0,2,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,2,0,0,0,0,0,1,1,1,0
0,0,1,0,0,0,0,1,1,0,0,0,0
1,0,0,1,24,0,0,0,0,1,2,27,6
1,0,5,1,74,36,41,0,0,9,1,0,0
19,0,19,1,4,8,17,25,0,17,0,0,0
2,0,1,1,0,0,0,6,0,3,1,1,0
0,0,0,1,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,2,0,0,0,0,0,1,1,1,0
1,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,1,16,0,0,1,0,1,0,17,0
2,0,2,1,80,34,32,1,1,3,1,5,0
21,0,20,0,3,14,19,20,0,19,1,0,0
5,0,0,1,0,0,0,9,0,1,1,0,0
1,0,1,1,0,0,0,0,0,0,1,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,1,1,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,16,0,0,1,0,0,0,25,3
2,0,5,1,85,36,34,1,0,4,1,4,0
20,0,24,1,3,18,16,18,0,25,2,0,0
8,1,2,1,0,0,0,5,0,2,1,0,0
1,2,2,3,0,0,0,2,0,2,2,0,0
2,0,2,5,0,0,0,1,0,1,4,0,0
2,0,2,4,0,0,0,1,1,2,2,1,0
1,2,2,2,0,0,0,2,0,1,2,1,0
2,0,2,4,19,0,0,1,1,2,2,75,28
3,2,6,2,119,38,39,4,0,10,5,41,29
19,0,30,7,122,58,60,19,0,34,2,41,13
26,1,36,2,98,60,56,31,0,23,3,0,0
31,1,24,4,5,12,40,30,0,32,4,2,0
8,1,2,3,0,0,0,14,1,12,2,1,1
2,0,2,4,0,0,0,2,0,2,3,0,0
2,0,2,5,0,0,0,1,0,1,3,1,1
1,2,2,1,19,0,0,1,0,2,3,81,42
2,1,8,4,126,39,40,4,0,10,4,92,23
28,0,21,4,122,62,64,20,0,37,1,76,2
35,0,31,3,92,53,60,32,0,30,4,10,0
27,1,31,2,1,33,9,33,0,18,2,0,0
14,0,8,6,0,0,0,1,0,2,3,0,0
1,1,2,3,0,0,0,2,0,1,2,2,0
2,1,2,2,0,0,0,1,1,2,4,1,0
2,0,2,6,17,0,0,2,0,1,3,90,45
2,2,3,1,119,37,39,2,0,8,3,75,33
27,0,31,4,125,59,57,26,0,23,2,48,7
28,1,31,4,100,55,60,37,0,27,4,9,1
36,1,22,4,1,34,21,37,1,22,2,0,0
14,0,8,4,0,0,0,8,0,2,4,2,0
2,0,2,4,0,0,0,1,1,1,2,0,0
1,0,2,3,0,0,0,1,0,2,2,0,1
2,0,1,3,22,0,0,2,0,1,4,77,43
2,1,8,5,123,40,46,6,0,7,3,69,34
23,1,30,2,116,57,61,30,0,26,3,52,12
28,0,33,5,104,55,54,38,0,26,3,4,0
36,1,17,2,0,35,17,22,0,29,2,2,1
20,0,8,5,0,0,0,7,0,1,4,1,0
2,1,2,2,0,0,0,1,0,2,1,1,1
2,1,1,4,0,0,0,2,1,1,3,0,0
1,0,2,4,21,0,0,1,0,2,2,102,25
3,0,7,4,129,41,41,2,0,6,5,48,2
21,0,35,4,123,60,61,25,0,31,2,50,0
32,1,27,1,92,55,64,35,0,34,4,0,0
29,0,29,4,0,17,26,29,0,33,1,0,0
7,2,2,4,0,0,0,9,0,2,3,1,0
