A,B,C,D,E,F,G,H,I,J,K,L,M
8,1,12,7,1,7,4,13,1,7,8,1,1
10,3,6,8,5,0,0,8,0,4,6,3,1
5,2,6,9,42,9,7,5,1,6,9,0,0
8,1,9,10,11,22,14,11,0,8,9,1,0
17,1,13,9,2,3,4,15,1,7,10,0,2
9,0,6,8,5,0,1,7,2,4,11,2,1
3,3,7,8,39,6,6,5,2,2,7,1,1
4,2,12,10,13,21,17,8,3,15,5,3,0
13,1,11,8,3,3,7,11,0,7,11,1,0
9,2,2,10,7,0,0,7,0,10,8,2,2
6,2,6,6,38,11,7,7,5,7,8,1,1
7,1,14,10,14,16,16,8,1,12,10,1,2
10,2,14,10,1,3,7,11,0,6,11,1,0
4,2,15,8,5,0,0,12,1,4,11,5,2
6,6,6,10,38,8,8,1,2,3,7,1,1
8,3,8,11,15,14,22,9,0,10,5,0,0
10,1,9,10,2,6,2,13,3,11,6,0,0
6,1,5,11,4,0,0,9,1,6,9,4,1
5,0,3,8,34,6,4,3,2,1,9,3,0
6,1,9,8,20,13,23,5,3,17,4,1,0
7,2,6,5,2,7,7,8,0,10,9,2,1
6,0,4,4,2,0,0,8,2,8,1,3,3
8,3,5,4,39,6,4,4,2,5,9,1,0
8,2,14,10,18,19,15,14,0,8,11,0,0
12,3,13,9,1,8,8,9,2,10,10,2,1
9,1,5,11,9,0,0,9,1,7,10,1,1
5,2,2,11,37,10,6,4,4,7,8,0,2
10,2,12,5,14,20,13,8,4,6,10,1,1
12,1,12,10,0,7,4,6,1,9,11,0,2
8,2,9,7,6,0,0,8,3,4,4,4,3
2,2,7,8,39,10,7,2,1,7,8,0,0
5,1,13,8,14,13,23,8,0,14,10,0,0
13,0,11,10,1,3,3,14,1,9,8,0,1
4,2,8,10,7,1,0,4,0,5,3,3,3
7,1,4,11,43,9,9,4,3,8,8,1,1
3,3,13,6,9,21,16,8,1,8,9,0,1
10,0,18,7,1,3,2,9,0,12,9,0,0
8,1,1,9,7,0,0,1,1,8,6,4,4
3,2,10,7,34,6,9,2,2,8,7,0,0
5,5,5,7,18,15,14,12,3,14,10,1,1
12,1,16,10,1,8,8,14,4,7,9,1,0
7,2,4,11,6,0,0,9,2,9,10,4,0
5,0,5,7,37,8,9,3,2,3,11,2,0
9,3,10,7,15,14,17,8,1,12,11,0,1
11,4,12,8,2,1,11,17,1,10,5,0,0
3,2,5,10,6,0,0,11,3,10,12,5,3
5,2,1,11,32,7,8,4,3,3,10,1,1
8,0,9,5,20,15,17,10,0,9,10,0,0
8,1,12,6,2,6,7,7,3,12,9,0,0
9,2,4,8,4,0,0,10,1,10,7,4,3
8,3,5,10,39,9,8,4,3,4,10,2,0
11,0,13,9,17,19,13,10,0,7,8,1,2
14,2,5,8,0,8,3,13,1,6,10,2,2
6,3,7,9,3,0,0,6,2,9,6,3,1
6,2,10,6,39,5,5,3,3,4,7,0,1
8,4,13,10,17,17,21,6,3,12,9,0,0
16,2,10,11,1,7,5,11,0,8,11,0,1
3,1,6,10,5,0,0,8,1,4,3,6,0
5,1,6,12,46,6,7,5,3,4,7,2,0
9,2,16,10,9,17,26,6,1,12,10,0,1
14,2,4,9,0,0,4,15,0,20,8,0,1
3,0,5,11,6,0,0,5,3,5,7,3,2
4,2,6,8,37,5,9,7,3,6,7,3,1
5,2,12,7,17,15,20,6,2,13,10,3,0
12,1,11,11,0,4,7,9,3,10,10,2,0
5,1,4,10,8,0,0,10,3,3,7,8,0
5,3,7,8,34,9,8,5,1,5,4,1,1
10,1,13,10,17,21,10,8,2,10,6,0,0
18,2,10,9,1,7,4,6,0,8,9,3,1
12,3,6,10,6,1,0,6,1,3,9,3,2
5,2,6,12,37,10,8,10,2,8,11,2,1
10,5,13,8,16,13,20,6,1,12,7,0,0
7,4,12,10,1,4,4,18,0,4,9,1,1
5,2,2,9,4,0,1,3,2,6,9,1,6
0,0,4,7,41,5,9,3,2,6,4,3,1
4,1,9,4,14,20,16,8,2,10,9,1,0
15,2,14,5,1,8,2,12,2,11,7,0,0
7,4,6,10,7,0,0,3,2,4,7,5,1
7,1,8,8,33,11,5,0,2,5,7,2,0
9,3,5,9,20,14,18,9,0,9,3,1,0
11,0,10,9,0,6,6,12,3,10,6,1,0
7,2,6,4,3,0,0,6,2,5,8,2,1
3,2,4,8,43,3,11,5,1,7,10,0,0
7,1,8,10,14,19,18,6,1,12,11,0,0
13,2,14,5,0,4,5,17,0,8,3,3,2
8,3,5,10,5,0,0,6,5,5,7,3,1
2,1,4,10,36,5,10,7,3,6,10,2,0
7,1,14,7,19,13,21,9,1,18,10,2,1
6,3,6,8,0,5,6,20,3,9,10,1,2
8,1,6,9,7,0,0,11,5,3,11,3,2
4,1,4,10,38,5,5,2,2,8,10,2,0
10,2,10,5,13,17,21,11,3,11,11,1,0
7,2,17,6,2,5,5,11,3,9,9,1,1
8,4,3,11,6,0,2,8,1,10,8,1,3
5,2,1,11,40,7,8,8,6,5,10,2,1
6,0,12,7,14,15,20,7,5,12,11,1,2
7,2,10,4,0,8,2,5,2,13,10,0,0
6,2,8,7,7,0,0,3,1,4,6,1,0
10,4,3,9,37,9,7,5,1,5,5,1,0
10,2,12,9,15,12,21,7,3,8,6,1,1
9,1,7,9,1,6,5,10,1,15,8,0,1
15,2,6,11,5,0,0,3,2,4,5,2,4
3,3,3,11,38,4,7,3,3,5,5,2,0
8,2,9,10,15,14,22,6,0,8,6,2,0
10,6,12,9,2,3,9,14,4,9,3,0,1
6,1,1,9,3,1,0,9,1,9,9,7,4
3,1,7,6,41,4,5,4,0,3,5,1,1
8,1,16,7,15,20,20,6,1,7,8,0,0
15,3,12,8,1,3,8,12,0,15,6,0,1
7,1,3,12,5,0,0,5,1,7,8,3,3
2,1,2,11,40,12,5,3,1,3,6,3,0
9,0,13,10,15,19,16,7,3,9,4,1,0
8,1,9,4,0,3,5,11,3,12,8,0,0
9,1,4,3,7,0,0,6,2,10,9,2,0
6,3,6,11,38,7,7,5,1,4,10,0,0
10,3,11,8,13,15,18,8,3,21,11,1,1
7,1,11,10,2,5,7,14,1,3,9,2,0
6,1,6,9,7,0,1,6,2,10,11,2,3
5,1,6,9,35,5,8,3,1,4,10,0,0
5,1,14,9,17,16,21,7,2,9,7,0,0
7,1,13,11,1,6,4,11,0,14,4,1,0
5,4,6,4,6,0,0,4,0,3,6,5,2
7,0,7,9,38,8,12,6,1,9,7,0,0
7,1,9,11,16,20,12,11,2,11,7,0,0
14,0,6,10,0,2,6,20,4,10,10,1,1
8,1,4,3,1,0,0,9,9,6,11,6,2
8,1,2,11,40,4,4,6,1,9,10,0,2
3,0,11,7,18,20,18,9,0,11,10,0,0
13,6,10,2,1,7,7,16,0,9,11,1,0
10,1,7,9,5,0,0,9,2,4,10,3,1
6,2,7,11,36,7,7,5,0,2,11,1,3
4,2,13,10,18,16,20,10,0,13,11,2,0
12,5,10,11,1,5,5,13,1,11,11,3,0
9,2,4,9,5,0,0,9,1,3,11,5,3
2,2,5,8,35,8,5,1,3,3,9,0,1
5,2,10,6,20,19,14,8,3,7,10,2,0
21,0,14,9,0,8,6,14,2,11,9,1,1
5,5,8,11,7,0,0,3,1,4,9,3,3
8,2,3,9,45,8,10,4,1,9,3,0,1
6,2,16,10,8,18,21,6,2,11,9,0,0
12,1,6,8,0,1,2,16,3,10,7,0,1
5,4,2,7,4,0,0,3,1,1,10,0,0
4,3,3,5,31,6,9,3,1,3,4,0,3
4,1,11,8,25,11,17,7,1,16,4,0,0
12,3,9,6,0,10,7,10,0,8,9,0,0
10,3,12,11,3,0,0,5,0,7,5,3,3
8,1,1,10,43,6,5,3,1,1,5,2,0
6,1,18,11,13,17,23,7,0,10,6,0,0
16,1,9,11,1,4,4,19,1,10,7,0,1
9,2,1,10,3,0,1,8,1,7,8,3,6
9,1,2,10,45,6,8,8,3,6,11,1,0
5,4,11,9,10,15,21,6,1,14,9,1,0
14,1,12,10,2,5,5,14,2,8,11,1,0
6,2,5,10,6,0,0,10,1,5,10,7,2
5,1,6,10,40,6,11,2,1,5,8,1,0
6,2,9,11,14,18,14,11,2,9,6,2,0
12,5,22,8,0,7,4,7,1,5,7,0,0
6,2,5,11,4,0,0,10,1,2,5,4,3
4,2,4,10,39,8,4,6,1,6,8,2,0
11,3,13,8,17,15,19,8,1,14,9,2,0
7,3,8,10,0,7,7,10,5,15,8,0,1
4,1,7,7,2,0,0,6,1,11,9,1,0
2,0,3,5,43,5,10,2,4,0,12,0,2
4,1,8,4,15,15,18,11,3,9,7,0,0
13,1,8,3,0,7,5,11,0,7,6,0,1
8,2,4,7,6,0,0,6,1,6,3,2,1
6,2,7,7,31,6,9,4,0,1,7,1,0
2,2,9,10,22,18,13,8,0,6,6,1,1
12,2,9,8,1,4,10,10,2,12,4,0,0
10,3,2,8,7,0,0,13,3,8,8,2,0
6,1,5,7,42,8,6,6,3,2,9,0,0
9,3,11,6,10,19,20,8,0,12,10,0,0
13,2,9,7,1,5,1,11,3,11,6,0,1
6,3,9,10,6,0,1,6,4,3,11,4,3
5,0,4,9,38,6,7,5,2,5,9,0,0
6,3,12,8,14,22,15,9,1,11,6,0,1
10,4,16,7,2,5,4,12,1,8,11,2,0
5,1,4,10,4,1,0,3,3,8,9,3,3
8,0,3,7,40,8,7,2,2,7,6,1,0
10,1,12,7,16,22,12,5,0,17,11,0,0
14,1,10,11,0,4,7,10,4,7,5,1,1
7,1,10,8,8,0,0,5,1,2,9,6,1
5,5,6,9,35,10,5,8,1,4,7,1,3
11,0,18,11,16,15,20,4,3,16,10,1,1
9,4,8,11,1,6,4,8,0,13,8,0,1
10,2,6,10,4,0,0,5,2,4,5,0,2
2,3,3,9,46,7,10,2,1,5,8,2,1
7,1,18,6,10,17,17,11,2,10,7,1,2
10,4,7,9,0,8,1,9,2,10,7,0,0
8,0,7,11,6,0,0,4,1,5,6,4,4
3,0,8,9,40,7,6,2,3,4,7,2,0
6,2,13,5,13,18,22,7,1,12,5,0,0
14,3,7,8,1,5,2,11,2,10,8,0,1
5,3,5,8,9,0,0,2,3,7,3,3,1
3,1,6,11,32,10,10,7,2,11,8,2,0
7,1,14,3,19,15,16,7,4,14,10,1,0
7,2,7,8,0,6,3,12,2,6,12,1,0
16,2,2,5,7,0,0,5,1,2,10,3,4
4,0,1,11,31,10,11,2,3,4,5,0,0
11,3,8,7,20,15,13,13,1,9,7,2,0
10,1,6,7,2,4,6,8,0,10,8,0,1
5,0,7,4,4,0,1,4,1,7,3,4,4
5,2,7,8,38,7,7,3,2,3,6,1,1
5,2,12,7,18,13,21,9,2,16,7,1,1
8,2,10,7,0,4,8,7,3,7,6,1,2
3,1,9,9,8,0,0,9,0,3,5,7,1
7,2,6,10,42,11,7,3,2,2,6,0,1
7,1,8,10,10,14,20,4,0,18,3,2,0
10,1,10,6,0,1,7,10,2,13,7,0,0
3,2,5,7,6,0,0,6,1,5,8,2,4
5,2,7,5,37,5,8,5,3,4,5,1,0
3,2,12,10,17,18,17,5,1,15,10,0,0
12,1,15,9,0,4,8,17,2,13,9,2,1
6,3,5,10,5,0,0,8,1,4,10,3,2
0,1,6,10,42,9,5,2,1,8,11,1,0
9,2,12,5,12,16,23,9,1,10,8,0,1
12,1,11,12,1,2,4,16,1,12,10,0,0
3,0,3,7,7,0,1,4,5,4,8,5,4
7,1,7,7,36,6,9,8,4,5,10,0,0
9,2,7,11,16,18,17,8,0,13,9,0,1
11,0,9,8,1,3,6,10,0,12,8,1,1
7,1,3,7,8,0,1,10,1,2,7,5,1
5,6,6,2,38,10,8,5,1,8,11,0,1
9,3,12,11,11,15,19,7,0,10,9,0,0
8,3,14,11,3,5,1,11,2,12,5,0,1
9,1,4,10,5,0,2,5,3,6,11,3,2
6,1,3,9,35,7,5,12,2,5,8,0,1
9,1,8,8,19,13,24,10,3,11,11,2,0
11,2,6,6,1,3,8,23,2,12,12,0,2
6,2,5,9,6,0,0,7,2,3,9,4,2
4,1,2,9,40,8,6,8,0,4,11,2,0
8,0,13,7,13,18,17,12,2,9,9,2,0
8,0,13,7,1,4,6,15,1,15,11,1,0
6,1,6,7,3,0,1,5,2,7,10,3,2
5,1,6,11,34,3,7,12,3,8,11,1,1
7,2,9,6,22,16,14,11,1,6,11,3,2
10,0,15,9,1,9,11,16,2,9,10,3,1
8,2,6,11,5,0,0,7,0,10,11,1,3
7,3,5,8,34,5,8,5,1,3,11,0,0
12,1,8,10,18,14,20,12,0,14,11,3,1
15,3,12,10,3,4,9,8,3,13,9,3,3
4,0,5,11,5,0,0,13,0,6,11,3,4
4,1,4,11,35,7,10,8,0,1,11,0,0
6,1,13,10,19,15,11,13,1,18,10,0,0
10,2,14,9,1,6,10,9,3,9,11,1,1
7,3,4,9,4,1,0,6,0,10,10,2,0
10,0,4,11,40,8,5,6,1,6,11,2,1
8,4,15,10,16,17,20,8,1,10,11,0,1
12,3,13,11,0,6,4,10,1,12,11,2,0
8,2,8,11,4,0,0,9,1,3,10,4,1
5,3,3,10,36,7,7,5,3,6,6,0,1
10,1,15,11,19,18,18,8,1,16,11,1,0
11,2,6,10,1,1,9,14,2,13,11,0,0
6,1,4,9,5,0,0,9,2,5,11,5,0
3,1,6,7,44,11,6,4,1,7,10,1,1
7,3,12,6,10,24,12,8,1,11,9,2,1
16,1,12,11,1,3,3,11,1,5,10,1,0
11,2,5,9,6,0,1,5,1,8,9,2,3
3,2,2,8,34,12,5,5,3,3,9,2,1
11,1,8,4,19,15,14,7,0,10,10,0,1
9,1,14,5,1,6,8,9,1,8,10,0,0
5,1,3,5,8,0,0,11,1,4,4,4,5
3,1,3,9,37,8,9,5,1,9,10,1,0
8,0,11,6,15,17,16,9,2,10,9,2,0
12,2,7,6,0,4,6,7,0,11,9,0,0
6,1,9,8,2,0,0,8,1,9,5,3,2
4,2,6,9,42,7,6,7,2,4,9,1,0
7,1,12,10,15,17,22,7,4,8,10,1,1
8,1,9,5,1,5,3,18,1,9,9,2,0
4,1,4,6,6,0,0,9,5,6,7,5,4
4,1,5,6,35,7,6,4,1,7,9,0,0
8,1,13,9,17,17,17,6,2,8,10,1,0
5,2,9,3,2,5,8,10,0,11,11,1,0
4,1,14,8,7,0,0,7,2,3,4,2,1
5,2,8,9,32,11,6,4,2,8,7,0,0
8,2,12,9,21,16,17,3,4,9,5,1,0
9,1,9,12,0,4,6,16,2,12,8,2,0
11,2,9,7,5,0,0,8,3,4,9,4,1
5,1,4,10,36,5,8,6,4,0,10,1,1
5,1,5,11,19,17,19,9,0,12,7,3,2
14,1,7,6,0,3,8,6,1,10,6,0,3
4,2,7,6,5,0,0,10,0,7,7,3,0
7,2,2,9,41,9,8,6,0,5,6,0,1
9,2,11,7,13,17,17,6,5,15,7,1,0
13,3,10,7,1,5,4,10,1,5,9,1,1
7,2,4,11,7,0,0,7,0,5,6,3,6
4,1,4,6,39,7,8,3,1,5,7,1,0
8,1,9,7,13,14,22,7,1,10,9,1,1
15,2,7,8,1,4,5,15,1,7,6,0,1
7,1,1,10,4,0,0,7,3,7,2,2,1
5,0,1,5,39,6,6,4,1,4,8,1,0
6,0,8,6,15,18,17,8,1,12,7,0,1
16,0,12,6,2,5,7,13,1,8,12,1,0
9,2,14,8,4,0,1,5,3,6,6,3,1
6,2,3,10,36,9,3,7,3,6,8,2,1
6,2,14,10,20,18,19,5,1,9,10,1,1
12,1,12,9,0,5,6,9,4,14,4,1,0
7,1,3,11,4,0,0,9,3,7,9,6,2
5,1,5,10,40,6,7,2,2,5,9,1,0
6,1,9,10,16,16,23,5,3,17,9,2,0
12,0,17,9,0,4,4,12,1,8,6,2,2
9,3,5,11,2,0,0,5,2,2,8,4,1
8,3,4,10,40,6,7,6,1,5,4,2,1
5,2,13,10,17,20,15,8,3,13,8,2,0
12,2,12,11,1,6,5,12,0,10,10,2,0
10,0,2,10,5,0,1,6,3,6,11,6,1
4,1,4,8,38,10,7,3,1,7,8,0,2
10,1,12,8,14,18,16,8,1,14,7,0,0
11,2,11,5,3,3,5,10,3,9,10,2,0
5,2,4,8,5,0,1,9,1,7,7,0,1
8,2,3,8,38,6,8,5,4,6,11,1,0
7,3,7,10,16,17,21,3,3,15,9,1,0
